LÄNSKOD;KOMMUNKOD;LÄNSNAMN;KOMMUNNAMN;M;C;L;KD;S;V;MP;SD;FI;AfS;BASIP;CSIS;DD;DjuP;EAP;ENH;FHS;Gup;INI;KLP;KrVP;LPo;MED;NMR;NORRP;NYREF;PP;RNP;S-FRP;SKP;SKÅ;TRP;VL-S;ÖVR;OGEJ;BLANK;OG;RÖSTER GILTIGA;RÖSTANDE;RÖSTBERÄTTIGADE;VALDELTAGANDE
18;14;Örebro län;Lekeberg;15,68;13,19;3,02;8,69;25,86;5,27;2,72;23,88;0,28;0,4;0,02;;0,06;0,08;;0,3;;;;0,02;0,13;0,15;0,17;0,02;;;;;;;;;;0,06;0,07;1,19;0,02;5293;5362;5903;90,84
18;60;Örebro län;Laxå;12,01;6,41;2,81;9,44;35,47;6,9;1,64;24,15;0,46;0,33;;;0,03;0,03;;0,03;;;;;;0,11;0,11;0,08;;;;;;;;;;;;0,97;0,03;3665;3702;4263;86,84
18;61;Örebro län;Hallsberg;13,82;7,92;3,19;5,88;36,89;6,56;2,59;21,71;0,26;0,33;0,05;;0,05;0,05;;0,04;;;0,01;0,01;0,07;0,21;0,22;0,03;;;0,12;;;;;;;;0,04;0,97;0,05;10200;10309;11634;88,61
18;62;Örebro län;Degerfors;10,65;5,35;2,4;4,01;44,07;10,18;2,37;19,88;0,34;0,36;;;0,09;0,05;;0,03;;;;0,02;0,03;0,06;0,08;0,03;;;0,02;;;;;;;;0,03;0,86;0,06;6415;6477;7436;87,1
18;63;Örebro län;Hällefors;11,89;6,04;2,1;3,38;39,73;8,98;1,84;24,67;0,16;0,42;;;0,07;0,05;;0,07;;;;0,02;;0,26;0,12;;;;0,16;;;;;;;0,05;0,02;1,06;0,02;4289;4337;5160;84,05
18;64;Örebro län;Ljusnarsberg;11,33;5,97;2,67;4,2;33,83;6,97;1,9;31,2;0,33;0,47;;;0,03;0,03;;0,1;;;;;;0,43;0,17;0,17;;;0,13;;;0,07;;;;;0,1;0,89;;3000;3030;3622;83,66
18;80;Örebro län;Örebro;17,9;8,05;5,65;7,74;31,48;8,46;4,77;14,38;0,49;0,28;0,01;;0,07;0,04;;0,08;;;0,01;0,03;0,13;0,03;0,2;0,02;;0;0,16;;;0,01;;;;0,01;0,03;0,8;0,06;98428;99300;113130;87,78
18;81;Örebro län;Kumla;16,87;7,05;5;7,98;32,55;5,61;2,7;21,08;0,36;0,24;0,02;;0,03;0,05;;0,04;;;;0,02;0,06;0,03;0,1;0,01;;;0,19;;;;;;;;0,04;1,19;0,05;13948;14129;15951;88,58
18;82;Örebro län;Askersund;16,45;9,18;3,04;6,75;32,16;5,45;2,3;23,29;0,2;0,2;;;0,08;0,04;;0,1;;;;;;0,49;0,12;0,06;;;0,08;;;;;;;;0,01;0,94;0,03;7818;7895;8916;88,55
18;83;Örebro län;Karlskoga;17,98;6,03;3,98;4,84;37,53;7,16;2,8;18,34;0,22;0,45;;;0,07;0,06;;0,05;;;;;0,05;0,04;0,11;0,05;;;0,23;;;0,01;;;;0,01;0,02;0,97;0,03;19899;20106;23097;87,05
18;84;Örebro län;Nora;14,68;8,87;3,61;6,3;33,72;6,34;3,38;21,41;0,58;0,27;;;0,1;0,06;;0,09;;;;;;0,42;0,13;;;;0,04;;;;;;;;0,03;0,99;0,01;6922;6994;8051;86,87
18;85;Örebro län;Lindesberg;15,76;8,49;2,84;6,05;31,56;6,08;2,57;25,02;0,31;0,31;0,03;;0,07;0,04;;0,1;;;;0,01;0,07;0,35;0,21;0,08;;;0,05;;;;;;;0,01;0,01;1,09;0,05;15280;15459;17648;87,6
19;4;Västmanlands län;Skinnskatteberg;10,72;6,67;4,89;3,94;38,46;6,56;2,02;25,24;0,45;0,07;;;0,1;;;0,07;;;;0,03;;0,63;;0,07;;;0,07;;;;;;;;0,03;0,9;0,1;2865;2895;3392;85,35
19;7;Västmanlands län;Surahammar;12,96;4,01;3,36;4,17;36,4;8,19;1,91;27,54;0,3;0,35;;;0,21;0,06;;0,1;;;;0,06;;0,1;0,24;0,02;;;;;;;;;;0,02;0,02;0,89;0,11;6241;6305;7407;85,12
19;60;Västmanlands län;Kungsör;16,65;8,55;4,41;5,61;31,43;5,85;2,09;23,91;0,19;0,37;;;0,04;0,07;0,02;0,09;;;;0,02;;0,15;0,2;0,09;;;0,26;;;;;;;;;1,29;0,06;5370;5443;6167;88,26
19;61;Västmanlands län;Hallstahammar;14,69;5,29;3,99;5,08;36,15;7,97;2,23;23,25;0,24;0,3;0,02;;0,12;0,04;;0,17;;;0,01;0,02;;0,06;0,16;0,03;;;0,17;;;;;;;0,02;0,06;1;0,02;10063;10173;11855;85,81
19;62;Västmanlands län;Norberg;14,11;5,72;3,77;4,09;36,5;9,54;2,51;21,62;0,4;0,59;;;0,08;0,05;;0,27;;;;;0,03;0,24;0,19;0,11;;;0,16;;;;;;;0,03;;1,47;0,13;3742;3803;4386;86,71
19;80;Västmanlands län;Västerås;22,19;6,32;6,83;6,17;29,12;7,15;3,4;17,51;0,37;0,25;0,01;;0,08;0,04;;0,09;;;0,01;0,02;0,07;0,04;0,21;0,05;;0;0,06;;;0,01;;;;0,01;0,02;0,78;0,06;96032;96863;111495;86,88
19;81;Västmanlands län;Sala;16,04;11,77;4,06;6,04;29,31;6,28;2,63;22,24;0,44;0,35;;;0,06;0,03;0,01;0,09;;;;0,03;0,03;0,19;0,19;0,02;;;0,15;;;0,01;;;;0,01;0,02;1,1;0,05;14958;15135;17160;88,2
19;82;Västmanlands län;Fagersta;14,13;4,19;3,19;4,69;39,4;7,95;2,29;22,98;0,19;0,42;;;0,06;;;0,09;;;;0,03;0,03;0,19;0,04;0,08;;;0,04;;;;;;;0,01;0,01;1,21;0,14;7825;7933;9411;84,29
19;83;Västmanlands län;Köping;15,63;6,74;3,33;5,86;34,62;6,43;2,25;23,94;0,2;0,41;;;0,12;0,03;;0,05;;;0,01;;0,01;0,09;0,1;0,04;;;0,12;;;;0,01;;;0,02;0,03;0,89;0,07;16390;16554;19264;85,93
19;84;Västmanlands län;Arboga;18,67;6,81;3,87;5,12;33,76;5,75;3,17;21,7;0,23;0,28;;;0,08;0,04;;0,08;;;0,01;0,01;;0,05;0,19;0,03;;;0,1;;;;;;;0,03;0,07;1,01;0,05;9233;9339;10678;87,46
20;21;Dalarnas län;Vansbro;13,31;14,6;2,13;9,69;29,37;7,2;1,24;20,82;0,24;0,18;;;0,04;0,02;;0,04;;;;0,02;;0,73;0,09;0,04;;;0,13;;;0,02;;;;0,07;;1,38;0,02;4501;4565;5295;86,21
20;23;Dalarnas län;Malung-Sälen;18,98;9,28;3,15;5,94;28,98;6,08;1,73;24,57;0,18;0,19;;;0,01;;;0,06;;;;;0,01;0,59;0,07;0,07;;;0,09;;;;;;;;;1,11;0,04;6756;6835;7858;86,98
20;26;Dalarnas län;Gagnef;14,36;13,71;3,75;8,53;27,43;6,06;2,77;21,76;0,57;0,17;;;0,09;0,06;;0,04;;;;;0,01;0,23;0,26;0,09;;;0,1;;;;;;;;0,07;1,24;0,09;6901;6999;7834;89,34
20;29;Dalarnas län;Leksand;19,57;12,87;3,62;9,48;26,13;7,04;3,65;16,23;0,37;0,15;0,01;;0,08;0,03;;0,14;;;0,01;;0,04;0,3;0,14;0,05;;;0,09;;;;;;;;0,05;0,92;0,05;10944;11057;12357;89,48
20;31;Dalarnas län;Rättvik;16,84;12,21;3,1;7,12;26,73;6,07;2,98;23,38;0,33;0,37;0,01;;0,09;;;0,1;;;0,01;0,01;0,01;0,38;0,16;0,03;;;0,08;;;;;;;;0,03;1,21;0,06;7644;7745;8884;87,18
20;34;Dalarnas län;Orsa;11,45;10,98;2,61;7,24;27,93;8,06;2,98;26,58;0,61;0,26;;;0,24;0,04;;0,24;;;;0,04;0,02;0,3;0,13;0,07;;;0,22;;;;;;;;0,02;1,22;0,04;4601;4661;5376;86,7
20;39;Dalarnas län;Älvdalen;10,86;11,78;2,58;5,37;32,13;5,34;1,62;28,53;0,19;0,17;;;0,09;0,02;;0,06;;;;;0,02;0,89;0,17;0,02;;;0,13;;;0,02;;;;;0,04;1,77;0,13;4696;4789;5527;86,65
20;61;Dalarnas län;Smedjebacken;13,94;6,29;2,46;4,5;38,98;7,57;2,12;22,88;0,23;0,38;;;0,04;0,01;;0,09;;;;;0,05;0,19;0,19;0,01;;;0,07;;;;;;;;;1,34;0,05;7440;7545;8564;88,1
20;62;Dalarnas län;Mora;15,69;11,81;3,38;6,78;29,21;6,12;2,89;22,54;0,39;0,28;0,01;;0,09;0,02;;0,07;;;0,01;0,02;0,01;0,22;0,33;0,05;;;0,05;;;0,01;;;;;0,01;1,08;0,04;13748;13904;16056;86,6
20;80;Dalarnas län;Falun;19,71;11,83;4,62;5,98;28,02;8,18;4,88;15,3;0,51;0,31;0;;0,11;0,02;0,01;0,09;;;0;0,04;0,02;0,09;0,14;0,03;;;0,06;;;;;;;0,04;0,02;0,94;0,04;39461;39861;44894;88,79
20;81;Dalarnas län;Borlänge;17,09;7,43;4,38;5,12;32,71;7,58;3,92;20,31;0,35;0,34;0,02;;0,1;0,01;;0,1;;;0;0,06;0,02;0,02;0,14;0,12;;;0,18;;;;;;;0;0,04;1,06;0,04;32460;32837;37646;87,23
20;82;Dalarnas län;Säter;16,95;12,42;3,14;6,16;29,79;6,27;2,54;21,66;0,25;0,32;0,04;;0,07;0,04;;0,01;;;;;;0,07;0,14;0,11;;;0,04;;;;;;;;0,03;1,67;0,03;7610;7743;8713;88,87
20;83;Dalarnas län;Hedemora;15,25;9,97;2,66;6,92;30,58;7,46;2,9;22,53;0,36;0,46;;;0,08;;;0,2;;;0,01;0,01;0,04;0,31;0,14;0,03;;;0,06;;;;;0,01;;0,03;0,03;1,12;0,04;9824;9942;11584;85,83
20;84;Dalarnas län;Avesta;15,77;6,75;2,92;5,02;34,8;6,52;2,22;24,68;0,25;0,28;0,01;;0,12;0,02;;0,08;;;;0,01;0,08;0,17;0,18;0,05;;;0,05;;;;;;;0,03;0,05;1;0,02;14573;14731;16988;86,71
20;85;Dalarnas län;Ludvika;14,09;6,55;3,5;4,52;35,41;8,25;2,9;23,21;0,36;0,37;0,01;;0,11;0,01;;0,05;;;;0,01;0,05;0,05;0,11;0,36;;;0,03;;;0,02;;;;0,04;0,04;1,25;0,02;16868;17092;19629;87,08
21;1;Gävleborgs län;Ockelbo;11,29;11,39;1,96;4,95;31,74;7,49;2,83;27,29;0,16;0,24;;;0,03;;;0,13;;;0,05;0,03;;0,21;0,08;0,03;;;0,1;;;;;;;;;1,34;0,15;3818;3876;4499;86,15
21;4;Gävleborgs län;Hofors;11,29;5,23;3,51;3,97;39,36;11,78;1,91;21,84;0,26;0,16;0,02;0,02;0,13;0,02;;0,07;;;;;0,03;0,18;0,02;0,07;;;0,1;;;;;;;0,03;0,06;1,21;0,13;6118;6205;7333;84,62
21;21;Gävleborgs län;Ovanåker;12,49;16,97;2,69;10,07;32,33;4,8;1,77;17,82;0,2;0,16;0,01;0,01;0,04;0,03;;0,04;;;;0,04;0,08;0,2;0,09;0,01;;;0,12;;;;;;;0,04;;1,1;0,01;7645;7731;8968;86,21
21;32;Gävleborgs län;Nordanstig;11,72;11,79;2,5;6,87;32,51;9,63;1,92;21,48;0,2;0,35;0,02;0,03;0,02;;;0,13;;;;;0,02;0,51;0,23;0,03;;;0,03;;;;;;;0,02;0,02;1,02;0,1;6084;6154;7363;83,58
21;61;Gävleborgs län;Ljusdal;14,41;12,27;3,36;5,11;33,99;6,9;2,75;19,97;0,41;0,17;;;0,07;0,01;;0,07;;;;0,01;;0,34;0,11;;;;0,02;;;0,02;;;;0,01;0,02;1,25;0,1;12065;12233;14622;83,66
21;80;Gävleborgs län;Gävle;18,17;6,32;5,36;4,92;32,09;8,47;3,88;19,46;0,41;0,31;0,01;0;0,11;0,03;0;0,09;;;;0,03;0,02;0,04;0,13;0,02;;;0,11;;;0,01;;0;;0;0,04;0,88;0,07;66241;66903;76433;87,53
21;81;Gävleborgs län;Sandviken;14,35;6,7;4,3;4,48;36,96;8,39;2,25;21,42;0,22;0,29;;;0,05;0,03;;0,17;;;;0,01;;0,19;0,07;0,01;;;0,07;;;0;;;;0,02;0,07;0,95;0,06;24794;25065;28827;86,95
21;82;Gävleborgs län;Söderhamn;14,35;9,91;2,98;5,03;36,53;8,26;2,4;19,58;0,19;0,23;;0,03;0,09;0,03;;0,11;;;;0,01;;0,1;0,07;0,02;;;0,07;;;;;;;0,02;0,04;0,95;0,08;16776;16958;19702;86,07
21;83;Gävleborgs län;Bollnäs;13,98;11,34;3,41;5,92;34,6;7,65;2,5;19,57;0,22;0,21;0,01;0,01;0,1;0,02;;0,1;;;;0,01;0,01;0,16;0,09;0,02;;;0,06;;;0,01;;;;0,01;0,03;0,88;0,11;17173;17351;20306;85,45
21;84;Gävleborgs län;Hudiksvall;13,79;12,62;2,78;5,34;34,69;9,32;3,6;16,29;0,39;0,3;0;0,01;0,08;0,13;;0,13;0,01;;;0,02;0;0,21;0,11;0,09;;;0,08;;;;;;;0,02;0,02;0,97;0,08;24699;24969;29182;85,56
22;60;Västernorrlands län;Ånge;11,26;8,55;1,59;4,87;41,88;6,83;1,08;22,13;0,29;0,37;;;0,06;0,02;;0,03;;;;0,03;0,02;0,68;0,06;0,13;0,02;;0,1;;;;;;;;0,02;1,07;0,05;6280;6352;7417;85,64
22;62;Västernorrlands län;Timrå;11,91;6,8;3,06;4,96;43,13;7,97;1,86;19,41;0,22;0,27;;;0,02;;;0,05;;;;0,06;0,01;0,07;0,15;0,02;;;0,03;;;0,01;;;;;0,01;0,77;0,09;12032;12137;13876;87,47
22;80;Västernorrlands län;Härnösand;13,09;9,94;3,21;5,29;36,67;8,86;4,31;16,84;0,88;0,3;;;0,08;;0,01;0,07;;;0,01;0,01;0,02;0,13;0,1;0,04;0,02;;0,1;;;0,02;;;;0,01;0,01;0,86;0,06;16284;16438;18829;87,3
22;81;Västernorrlands län;Sundsvall;16,56;8,26;4,77;5,01;37,67;7,46;3,21;15,63;0,48;0,28;0;;0,1;0,01;;0,09;;;0,01;0,02;0,02;0,11;0,16;0,05;0;;0,07;;;0;;;;0,01;0,04;0,74;0,06;65922;66479;75358;88,22
22;82;Västernorrlands län;Kramfors;9,32;12,46;2,05;3,98;41,07;11,79;1,87;15,76;0,51;0,4;0,01;;0,01;0,02;;0,09;;;;;0,09;0,18;0,07;0,04;0,22;;0,07;;;;;;;0,01;0,03;1,02;0,06;12066;12201;14153;86,21
22;83;Västernorrlands län;Sollefteå;8,96;12,84;1,6;4,35;35,25;15,3;1,5;18,66;0,45;0,4;0,01;;0,04;0,02;;0,12;;;;0,01;0,06;0,31;0,04;0,02;;;0,06;;;0,01;;;;;0,16;0,96;0,02;12631;12778;14780;86,45
22;84;Västernorrlands län;Örnsköldsvik;12,74;12,07;2,69;7,19;44,59;5,91;2,22;11,45;0,18;0,31;0;;0,07;0,01;;0,05;;;0,01;0,02;0,07;0,17;0,1;0,02;0,01;;0,07;;;0,01;;;;0,02;0,04;0,91;0,05;37786;38164;43087;88,57
23;3;Jämtlands län;Ragunda;7,89;14,8;1,65;3,98;37,52;9,23;1,54;20,89;0,49;0,38;0,06;;0,09;0,03;;0,06;;;;;;1,13;0,06;0,03;;;0,12;;;;;;;0,06;;1,35;0,03;3446;3494;4091;85,41
23;5;Jämtlands län;Bräcke;12,44;14,19;1,45;3,9;38,15;7,43;1,4;19,2;0,39;0,27;;;0,31;0,05;;0,15;;;;;;0,41;0,17;0,02;;;0,07;;;;;;;;0,05;1,22;0,02;4131;4185;4921;85,04
23;9;Jämtlands län;Krokom;14,11;18,71;2,32;5,62;31,09;8,32;3,12;15,58;0,24;0,3;0,01;;0,11;;;0,07;;;0,01;0,01;0,01;0,21;0,1;;;;0,05;;;;;;;;0,01;1,29;0,04;9391;9519;10751;88,54
23;13;Jämtlands län;Strömsund;10,22;12,66;1,07;4,11;41,08;7,71;1,43;20,76;0,24;0,2;0,03;;0,03;0,01;;0,07;;;;0,03;0,05;0,11;0,04;;;;0,15;;;;;;;0,01;0,03;1,36;0,08;7475;7586;8989;84,39
23;21;Jämtlands län;Åre;15,44;21,61;2,7;4,77;26,19;8,25;6,18;13,16;0,42;0,23;;;0,05;0,04;0,01;0,12;;;;;0,11;0,34;0,22;0,03;;;0,08;;;;;;;0,03;0,04;1,11;0,03;7297;7384;8330;88,64
23;26;Jämtlands län;Berg;15,27;16,9;1,67;4,56;32;6,29;2,23;19,65;0,37;0,2;;;0,04;0,09;;0,22;;;;;;0,43;0,09;;;;;;;;;;;;0,02;0,99;0,04;4610;4659;5443;85,6
23;61;Jämtlands län;Härjedalen;13,98;13,93;2,78;4,3;34,93;7,11;1,88;18,78;0,37;0,39;;;0,04;0,01;;0,03;;;;0,04;0,01;1,28;;0,01;;;0,01;;;0,04;;;;0,04;;1,08;0,03;6697;6772;8016;84,48
23;80;Jämtlands län;Östersund;15,59;14,22;3,71;5,07;33,31;9,08;4,41;13,29;0,54;0,25;;;0,07;0,01;;0,09;;;0,01;0,01;0,02;0,05;0,18;0,02;;;0,07;;;0;;0;;0;0,03;0,89;0,07;42176;42597;48471;87,88
24;1;Västerbottens län;Nordmaling;12,95;13,57;3,26;5,86;35,91;9,15;1,7;16,32;0,26;0,45;;;0,02;0,02;;0,15;;;;;;0,04;0,04;0,04;0,04;;0,17;;;;;;;0,02;0,02;0,87;0,09;4656;4702;5478;85,83
24;3;Västerbottens län;Bjurholm;17,9;14,68;4,98;7,62;29,24;5,04;1,45;18,65;0,06;0,25;;;;;;;;;;;;;0,06;;;;;;;;;;;0,06;;0,94;;1587;1602;1886;84,94
24;4;Västerbottens län;Vindeln;14,84;14,57;2,68;7,34;32,44;8,13;2,01;16,03;0,52;0,29;;;0,2;;;0,15;;;0,12;;0,15;0,15;;0,03;;;0,29;;;;;;;0,06;0,06;0,75;0,03;3431;3460;4073;84,95
24;9;Västerbottens län;Robertsfors;10,54;18,51;2,38;5,03;37,94;10,34;2,7;10,92;0,71;0,49;;;0,04;;;0,04;;;0,02;;0,04;0,11;0,09;;;;0,09;;;;;;;;0,02;0,77;0,02;4489;4526;5195;87,12
24;17;Västerbottens län;Norsjö;7,9;10,79;4,03;9,23;42,18;10,05;1,06;12,98;0,27;0,51;;;0,12;;;0,04;;;;;0,08;0,51;;;;;0,2;;;;;;;0,08;;1,23;0,08;2558;2592;3092;83,83
24;18;Västerbottens län;Malå;8,98;8,01;3,88;5,61;42,99;14,18;1,02;14,43;0,2;0,1;;;0,05;;;;;;;;;0,51;0,05;;;;;;;;;;;;0,05;1,65;0,05;1961;1996;2347;85,04
24;21;Västerbottens län;Storuman;12,08;10,95;3,47;7,87;34,39;10,87;2,05;16,97;0,45;0,16;;;0,05;;;0,13;;;;0,05;0,16;0,32;;;;;0,03;;;;;;;;0,03;1,48;;3800;3858;4637;83,2
24;22;Västerbottens län;Sorsele;10,96;12,22;1,92;6,94;35,67;12,75;1,98;15,46;0,53;0,07;;;0,07;;;;;;0,07;;;0,73;0,53;;0,13;;;;;;;;;;0,13;2,38;;1514;1553;1922;80,8
24;25;Västerbottens län;Dorotea;6,16;14,88;3,6;4,88;43,78;10,64;1,22;12,33;0,58;0,06;;;;;;;;;;;0,06;1,57;0,12;;;;0,12;;;;;;;;0,06;1,94;0,06;1720;1756;2076;84,59
24;60;Västerbottens län;Vännäs;12,72;13,05;2,81;6,02;34,62;13,13;3,08;13,18;0,41;0,25;;;0,14;0,02;;0,05;;;0,02;0,02;0,21;0,04;0,11;0,05;;;0,05;;;0,02;;;;;0,04;0,51;0,07;5615;5650;6523;86,62
24;62;Västerbottens län;Vilhelmina;7,47;14,24;1,81;7,29;37,29;10,79;1,12;16,27;2,24;0,43;;;0,07;0,02;;0,05;;;0,05;;0,11;0,53;;0,07;;;0,16;;;;;;;;;1,06;0,11;4376;4428;5244;84,44
24;63;Västerbottens län;Åsele;8,7;16,68;2,66;4,76;40,28;8,64;1,11;15,51;0,44;0,28;;;0,11;0,06;;;;;;;;0,61;0,06;;;;0,11;;;;;;;;0,05;1,04;;1805;1825;2138;85,36
24;80;Västerbottens län;Umeå;15,36;9,51;4,7;4,48;34,53;15,66;5,46;8,58;0,72;0,36;0;;0,09;0,03;;0,05;;;0,01;0,04;0,03;0,02;0,22;0,03;0;;0,1;;;0;;;;0,01;0,03;0,58;0,04;84574;85125;95033;89,57
24;81;Västerbottens län;Lycksele;14,41;7,31;3,81;9,67;38,94;9,45;1,44;13,79;0,26;0,19;;;0,04;0,1;;0,01;;;0,01;;0,03;0,39;0,05;0,03;0,04;;0,03;;;0,01;;;;;0,03;0,95;0,1;7787;7872;9321;84,45
24;82;Västerbottens län;Skellefteå;11,95;8,83;3,38;4,88;45,31;9,76;3,03;11,66;0,45;0,25;0;;0,08;0,01;;0,06;;;0,01;0,04;0,08;0,03;0,12;0,02;0;;0,05;;;0;;;;0;0,01;1;0,04;48964;49483;56313;87,87
25;5;Norrbottens län;Arvidsjaur;9,29;9,34;3,59;3,9;44,65;10,56;0,93;16,43;0,24;0,24;0,07;;0,02;;;0,05;;;;;;0,38;0,17;;;;0,12;;;;;;;;0,07;1,46;;4175;4240;4963;85,43
25;6;Norrbottens län;Arjeplog;8,86;7,72;2,88;7,18;35,18;14,3;2,07;20,28;0,38;0,27;;;;;;;;;;;;0,82;0,05;;;;;;;;;;;;0,05;1,23;0,11;1839;1865;2219;84,05
25;10;Norrbottens län;Jokkmokk;8,33;5,2;2,66;3,87;40,3;14,59;7,09;16,82;0,62;0,15;;;0,03;;;;;;;;;0,06;;0,03;0,03;;0,19;;;;;;;;0,03;1,04;;3228;3263;3913;83,39
25;13;Norrbottens län;Överkalix;7,81;8,79;2,1;3,44;46,68;10,49;1,07;18,34;0,22;0,4;;;;0,04;;0,04;;;;;0,04;0,09;0,13;0,13;;;0,13;;;;;;;0,04;;1,28;;2241;2270;2667;85,11
25;14;Norrbottens län;Kalix;11,71;6,42;2,87;3,58;45,37;7,88;2,79;18,37;0,24;0,25;0,05;;0,06;;;0,06;;;;;;0,22;0,06;0,01;;;0,05;;;0,01;;;;;0,06;1,16;0,04;10971;11111;12765;87,04
25;18;Norrbottens län;Övertorneå;9,61;16,29;1,71;5,39;39,5;9,38;1,33;16,18;0,15;0,19;;;0,04;;;;;;;;0,11;;;0,08;;;0,04;;;;;;;;;0,68;0,04;2633;2652;3273;81,03
25;21;Norrbottens län;Pajala;9,43;5,07;1,5;7,38;37,66;20,01;1,44;16,47;0,26;0,21;;;0,03;0,03;;0,05;;;;0,03;0,08;0,16;0,05;;;;0,05;;;0,11;;;;;;0,78;0,1;3808;3842;4720;81,4
25;23;Norrbottens län;Gällivare;12,23;3,68;2,03;3,3;41,95;12,86;2,47;20,42;0,24;0,17;0,02;;0,09;;;0,03;;;;;0,01;0,17;0,1;0,04;0,09;;0,1;;;0,01;;;0,01;;0,06;0,95;0,05;11464;11587;14081;82,29
25;60;Norrbottens län;Älvsbyn;8,56;9,03;3,02;4,64;44,82;10,74;1,23;16,62;0,23;0,4;;;0,04;;;0,08;;;;;0,02;0,45;0,04;0,06;;;0,06;;;;;;;;0,02;0,64;0,09;5306;5346;6257;85,44
25;80;Norrbottens län;Luleå;15,38;7,53;4,37;4,78;38,97;10,47;3,57;13,36;0,41;0,31;0;;0,09;0,02;;0,03;;;0,01;0,02;0,05;0,16;0,2;0,04;;;0,23;;;0;;;;0,01;0,03;0,69;0,04;53182;53589;60185;89,04
25;81;Norrbottens län;Piteå;11,82;7,49;2,52;4,8;47,48;10,56;2,42;11,81;0,4;0,2;;;0,06;;;0,05;;;;0,01;0,07;0,05;0,14;0,01;0,01;;0,09;;;0,03;;;;0;0,03;0,61;0,02;29523;29719;33094;89,8
25;82;Norrbottens län;Boden;14,32;6,23;3,61;4,61;41,76;8,1;2,22;17,76;0,5;0,29;;0,01;0,07;0,02;;0,06;;;;0,02;0,05;0,05;0,13;0,09;0,01;;0,09;;;;;;;0,02;0,03;0,84;0,07;19110;19291;21934;87,95
25;83;Norrbottens län;Haparanda;12,79;9,61;1,86;5,32;36,69;5,91;1,77;24,47;0,48;0,75;;;0,09;0,02;;0,02;;;;0,02;0,05;0,02;0,07;;;;0,07;;;;;;;;0,04;1,01;0,11;4402;4454;6120;72,78
25;84;Norrbottens län;Kiruna;10,71;5,38;2,51;4,91;38,23;13,46;2,83;19,69;0,83;0,3;0,02;;0,13;0,01;;0,06;;;;0,06;0,39;0,16;0,16;0,05;;;0,04;;;0,01;;;0,05;0,02;0,16;1,09;0,05;14796;14991;17468;85,82
